date,open,high,low,close,volume,daily_return,sma_10,sma_50,target_price,target_trend
2021-02-22,943.1370313830364,947.6260001116776,904.5727145749872,910.5352783203124,23804335,-0.03470659129917808,923.1497741655469,895.775228269672,917.4954833984376,1
2021-02-23,928.6272337,930.8490501461664,913.0291825324456,917.4954833984376,25644108,0.007644080623613991,926.2013610796093,895.9352893056406,934.5217895507812,1
2021-02-24,920.4653981529495,936.4488628942796,918.7196681979916,934.5217895507812,10807663,0.018557373262784393,930.1326049760937,896.5673718251719,972.3152465820312,1
2021-02-25,941.3232186199032,975.7839784992644,939.9629033732784,972.3152465820312,34855693,0.040441493664280515,934.1522644042968,898.1090356435312,945.7669677734376,0
2021-02-26,959.9140322,967.5769904,938.9201148180856,945.7669677734376,37481215,-0.027304188535476004,936.1564331054688,899.0997839345468,952.9765014648438,1
2021-03-01,956.8306484903324,957.6468737,935.2019693603648,952.9765014648438,17680764,0.007622949349118224,939.2896484375,900.1526513661875,954.9262084960938,1
2021-03-02,962.1811437745008,965.8085514456496,947.2632506,954.9262084960938,17150760,0.0020459130191070596,941.3981079101562,901.1905554181094,998.5010375976562,1
2021-03-03,961.7504524591252,1006.5721385998736,955.4704174620584,998.5010375976562,31924461,0.04563161919096159,946.7871459960937,903.5701647931095,986.5984497070312,0
2021-03-04,988.4801874020636,992.9918242849484,978.3686732860034,986.5984497070312,21435754,-0.011920456206297003,951.6910034179688,905.7389257792502,987.890625,1
2021-03-05,977.5977682721734,1002.9672532884404,976.2601209,987.890625,25511666,0.001309727674265515,956.1527587890625,907.8686914032501,993.5133056640624,1
2021-03-08,983.2657240329896,1012.0132716669716,983.0390448,993.5133056640624,19506841,0.00569160241202038,964.4505615234375,909.6547570770782,993.4905395507812,0
2021-03-09,997.5487577867862,1003.8061245628406,973.3355758572836,993.4905395507812,15154484,-2.2914754287950423e-05,972.0500671386719,911.357391354422,989.3643188476562,0
2021-03-10,1000.7228083320848,1004.3956118787132,984.0591848216624,989.3643188476562,11519358,-0.004153256159832863,977.5343200683594,913.0976586884063,969.2546997070312,0
2021-03-12,995.2816157511662,1000.4507422731192,963.0426687169552,969.2546997070312,16864952,-0.020325797845678673,977.2282653808594,914.3863098114532,956.2411499023438,0
2021-03-15,970.3655452396614,974.3783674,943.3636702802957,956.2411499023438,16698099,-0.013426346871076356,978.27568359375,915.5071899384063,952.4777221679688,0
2021-03-16,958.5536855,963.9948870594852,950.165234,952.4777221679688,13873801,-0.003935647127044639,978.2258056640625,916.5328515595002,931.9598999023438,0
2021-03-17,951.3214250817776,953.5659093364974,922.7778916021028,931.9598999023438,19210236,-0.021541524581723204,975.9291748046875,917.1177783173126,910.9887695,0
2021-03-18,939.9176595,945.3135252330828,907.3159659802868,910.9887695,20647480,-0.02250218105364965,967.1779479949219,917.5077294893125,944.0438232421876,1
2021-03-19,902.7816055754888,950.3238575711216,899.0634664039354,944.0438232421876,41787429,0.036284809263159135,962.9224853484375,919.0289904756406,935.1565551757812,0
2021-03-22,939.0560976937982,940.416353,921.9163888767762,935.1565551757812,18572478,-0.00941404185653616,957.6490783660156,920.400616452203,946.5377197265624,1
2021-03-23,934.9525516306612,956.6038970524452,932.2546489163942,946.5377197265624,17421165,0.01217033071926843,952.9515197722656,921.7953710908749,928.3098145,0
