date,open,high,low,close,volume,daily_return,sma_10,sma_50,target_price,target_trend
2021-02-22,1140.0149640340246,1151.9433489200894,1109.2037487898615,1113.7813720703125,7371303,-0.02021215123751663,1138.676757809375,1123.6972008833593,1114.7933349609375,1
2021-02-23,1119.0189144170472,1136.4932468756565,1107.0465825726692,1114.7933349609375,6612942,0.0009085830630690683,1135.2258544890624,1125.5132934126561,1121.792236328125,1
2021-02-24,1109.2476716611327,1123.8169086048074,1102.1610500403006,1121.792236328125,4537258,0.006278205249076629,1133.2715698210936,1127.4455907759375,1122.012207,1
2021-02-25,1134.2485724219769,1144.1962341374683,1119.7673474305518,1122.012207,8788221,0.000196088602462563,1131.6781860289063,1129.5574779823437,1103.305419921875,0
2021-02-26,1117.1264049578488,1121.792145299428,1095.7786387480553,1103.305419921875,15132388,-0.016672534364080227,1126.7043701109376,1131.0998022010938,1115.365723,1
2021-03-01,1112.1085808151993,1130.7713265603418,1108.3231608715223,1115.365723,5756286,0.010931064835137727,1122.9497680945312,1132.9977709610937,1148.37793,1
2021-03-02,1128.790801335222,1153.2196917521082,1126.1057812059096,1148.37793,10461434,0.029597652428485333,1124.191027894531,1135.0172241010937,1182.754395,1
2021-03-03,1161.3185090312531,1185.7914566139111,1151.458964551593,1182.754395,9056399,0.029934801167765146,1129.6710206171877,1137.9442919815624,1171.134033203125,0
2021-03-04,1175.227543893149,1200.6247618326536,1167.216651041202,1171.134033203125,12041941,-0.009824830789891048,1133.0074341914064,1139.8783496056249,1159.1175537109375,0
2021-03-05,1169.5053749599265,1179.6290571669565,1148.861909443889,1159.1175537109375,6486176,-0.010260550160361759,1135.2434205195314,1140.998994136875,1175.8878173828125,1
2021-03-08,1166.2483532735523,1184.9991108147522,1159.5578331575844,1175.8878173828125,5119392,0.014468130189370987,1141.4540650507813,1142.7543505821875,1184.515137,1
2021-03-09,1170.3859515587133,1188.8286206353612,1160.922507422379,1184.515137,6518173,0.007336856024573457,1148.4262452546877,1144.6074292010937,1204.4100341796875,1
2021-03-10,1194.5064324965867,1209.5598855627088,1192.8338027201385,1204.4100341796875,7925984,0.016795815062418562,1156.6880250398438,1146.6823413104687,1210.308349609375,1
2021-03-12,1208.679778537626,1225.1417252536396,1206.0828766227546,1210.308349609375,9462061,0.00489726526872114,1165.5176393007812,1148.9368383826563,1209.208008,0
2021-03-15,1206.038876053752,1214.7540689860443,1195.9151920576803,1209.208008,6658635,-0.0009091415503578171,1176.1078981085936,1151.0108715826564,1218.363525390625,1
2021-03-16,1220.1682253309843,1237.7305756497244,1215.2824037584955,1218.363525390625,9352771,0.007571499138322668,1186.4076783476562,1153.1861474615625,1221.0042724609375,1
2021-03-17,1225.625954097866,1232.4484365142844,1216.602670901958,1221.0042724609375,7626744,0.0021674541426097704,1193.67031259375,1154.9247778307813,1177.0762939453125,0
2021-03-18,1226.9464622249843,1226.9464622249843,1156.3007556107748,1177.0762939453125,10961755,-0.0359769244927276,1193.1025024882813,1155.687138670625,1183.5467529296875,1
2021-03-19,1170.826165767214,1193.010197502618,1160.2623206625474,1183.5467529296875,12767112,0.005497059976195207,1194.3437744609375,1156.7849023425,1206.742919921875,1
2021-03-22,1188.5202281089962,1211.3205417755976,1176.1957458525585,1206.742919921875,4862758,0.019598859896974075,1199.1063110820312,1158.6978369209376,1207.403564453125,1
2021-03-23,1208.195766894758,1217.7032708042857,1196.883670526964,1207.403564453125,7165335,0.0005474608720246188,1202.2578857890626,1159.7445410300002,1191.733642578125,0
2021-03-24,1195.3429344263322,1206.4349490534237,1185.131240126169,1191.733642578125,6134303,-0.012978197461341323,1202.979736346875,1159.3492797995314,1174.1712646484375,0
2021-03-25,1185.5713696026812,1190.6332113514952,1168.713214286175,1174.1712646484375,8749994,-0.014736831538710415,1199.95585939375,1158.6811181784376,1176.2840576171875,1
2021-03-26,1183.7667809034572,1194.3306255428963,1172.5867549777777,1176.2840576171875,4922071,0.0017993907978854917,1196.5534301945313,1157.7840747307812,1219.5076904296875,1
2021-03-30,1185.703371195561,1232.4483551746337,1176.2399284683272,1219.5076904296875,10546381,0.03674591399296756,1197.5833984375,1158.0446460198439,1204.322021484375,0
2021-03-31,1216.6024445648843,1221.884365,1200.1405007812757,1204.322021484375,8220987,-0.012452294532035224,1196.179248046875,1158.4513525628126,1219.419677734375,1
2021-04-01,1214.8420550042574,1225.053749336735,1206.9191720368383,1219.419677734375,5675155,0.012536228666973681,1196.0207885742188,1159.7392602776563,1241.1634521484375,1
2021-04-05,1224.5253791352843,1254.4562654692884,1221.0040983901074,1241.1634521484375,9479572,0.017831247773909542,1202.4295043945312,1161.3810547206251,1242.1761474609375,1
2021-04-06,1252.6959332908973,1255.3368944995218,1238.126587638924,1242.1761474609375,5793571,0.0008159242126788424,1208.2924438476562,1162.6416748378126,1259.033935546875,1
2021-04-07,1241.4715901438333,1263.2154565915005,1238.258399848928,1259.033935546875,5879234,0.013571173557305416,1213.5215454101562,1164.23505862875,1267.529052734375,1
2021-04-08,1258.857920022219,1277.9608258941146,1250.9350380080934,1267.529052734375,5654434,0.006747329796007451,1219.5340942382813,1165.9780859725,1268.5855712890625,1
2021-04-09,1280.8659961023566,1280.8659961023566,1258.9020482944743,1268.5855712890625,6052712,0.0008335261053056264,1227.219287109375,1168.0195483748437,1255.116699,0
2021-04-12,1297.5921547595565,1300.717334887364,1245.6532557562905,1255.116699,20384532,-0.010617235915253431,1235.3138305445314,1170.2159497376563,1229.939697265625,0
2021-04-13,1261.4991628553278,1263.4798838018903,1210.4405784550424,1229.939697265625,14855206,-0.02005949068675006,1240.679394509375,1172.3454468029688,1197.895751953125,0
2021-04-15,1172.850684415324,1202.8695827405857,1162.022702611152,1197.895751953125,25342491,-0.026053265362309563,1238.5182006617188,1174.488144556875,1191.733642578125,0
2021-04-16,1201.6372462560596,1206.787099,1185.439330748398,1191.733642578125,10879878,-0.005144111551404151,1237.2593627710937,1176.122897974844,1199.480469,1
2021-04-19,1179.6292029840504,1214.577875938815,1172.8947311912375,1199.480469,12508028,0.0065004680115567925,1235.2654418976563,1177.73036135875,1189.6209716796875,0
2021-04-20,1213.9618526540346,1213.9618526540346,1181.7421469474375,1189.6209716796875,8560766,-0.008219806470490032,1230.1111938507813,1178.9047143923437,1189.4007568359375,0
2021-04-22,1193.3182467166828,1201.4612096354415,1184.1628939428558,1189.4007568359375,6622446,-0.00018511345125249434,1224.8336547882814,1180.1679736690626,1174.1712646484375,0
