date,open,high,low,close,volume
11-12-2020,658.31077,660.6550066,650.2360746,654.8772583,21356384
14-12-2020,654.9719736,657.3399127,647.8681561,649.8335571,17222050
15-12-2020,653.9300382,660.6312591,646.9209158,658.90271,21561436
16-12-2020,664.9173167,670.9792641,660.4182323,668.090332,16832092
17-12-2020,671.8316972,684.3344277,665.1541202,682.8189697,21924478
18-12-2020,679.5984954,681.8243349,666.0065486,668.3981323,22995918
21-12-2020,671.310777,674.3180483,647.2524911,650.0703735,23761824
22-12-2020,655.8244596,655.8244596,636.9756406,650.2834473,22851558
23-12-2020,647.6313366,654.0010696,644.5767183,651.4910889,15467394
24-12-2020,658.002933,664.9173037,652.1304325,661.6495361,14952188
28-12-2020,665.3908678,672.9682727,664.91728,669.1085205,11699194
29-12-2020,672.9919613,679.480091,672.494671,675.90448,14495346
30-12-2020,681.9191122,681.9191122,669.1795883,678.4145508,16216726
31-12-2020,679.5985461,683.8608366,674.8863702,680.2142334,22145750
01-01-2021,681.9664674,683.3872309,672.778852,674.8863525,8810938
04-01-2021,681.0193356,681.0193356,662.5494093,670.6004028,15740192
05-01-2021,672.1157552,677.5857172,667.285183,675.6676636,14386824
06-01-2021,679.5985087,681.9664478,669.2269241,672.755188,22134050
07-01-2021,678.4144903,678.4618376,668.9664373,670.718689,19894842
08-01-2021,678.1777681,682.9136464,673.9628249,678.0120239,13768764
11-01-2021,686.7023589,693.7588291,680.2142287,687.3890381,17331392
12-01-2021,687.86253,704.5564988,686.2760225,701.3834839,20388156
13-01-2021,707.0192625,708.9136138,692.4327346,696.4819336,16934650
14-01-2021,696.7187757,704.6987194,689.5439082,695.5821533,12297166
15-01-2021,695.7478525,696.9555245,684.3343976,694.5875854,14165236
18-01-2021,696.1267764,711.7314726,694.7533601,702.3781128,42825632
19-01-2021,706.4983187,715.8990251,694.7533178,712.2050171,17360254
20-01-2021,710.8553079,710.8553079,703.7514907,706.5930176,13346052
21-01-2021,706.5930756,707.7059955,695.2980169,698.4473877,26333054
22-01-2021,695.1796187,695.1796187,682.0375559,683.6477661,15392364
25-01-2021,693.8534754,701.383533,689.1412999,692.7879028,20344718
27-01-2021,695.2268744,697.0738783,665.9354812,667.5693359,23556276
28-01-2021,658.2398063,663.6387197,635.5549352,649.5020752,42704446
29-01-2021,658.9263418,667.1667806,646.2105215,658.5238037,28704502
01-02-2021,667.8772579,702.0939797,663.4965704,699.3708496,26370544
02-02-2021,710.8553173,747.5583734,709.1504127,739.0574951,42420206
03-02-2021,747.7951369,749.0738009,730.2723883,745.8060913,20237254
04-02-2021,741.6384798,752.0574112,730.959052,747.8424683,24484684
05-02-2021,733.1139378,766.3834818,733.1139378,756.6038818,27054716
08-02-2021,767.2122882,772.729598,755.7040808,760.2268677,17447580
09-02-2021,762.4764131,771.0009941,751.4417935,763.3525391,18421366
10-02-2021,761.6949586,764.7732795,742.1121138,749.0975342,19788006
11-02-2021,749.2159471,756.6986579,740.7860606,744.645813,13648618
12-02-2021,745.3799133,754.1886356,744.9536727,749.1922607,9910106
15-02-2021,757.7877914,769.5801386,756.1775814,765.6019897,10355244
16-02-2021,767.780545,777.1576069,761.7423004,770.3616333,13897358
17-02-2021,767.2122995,768.0647808,749.6895495,751.3471069,12794426
18-02-2021,760.5583606,760.5583606,733.1139687,736.0975952,14720560
19-02-2021,731.6931665,740.7860293,726.0101127,728.8989868,17139508
22-02-2021,731.7168917,745.3798889,729.0647536,733.1139526,29451838
23-02-2021,735.8370775,737.7077262,721.1085078,724.1868286,18239906
24-02-2021,722.9318412,764.3470748,718.0775658,760.795166,14314332
25-02-2021,762.3579308,774.908007,758.6876255,760.7714233,20109570
26-02-2021,751.6075668,752.4836927,720.3270684,726.6731567,27912846
01-03-2021,740.6913483,744.7405473,729.656729,738.276062,13536018
02-03-2021,746.2322674,751.8206265,734.5346719,742.6803589,16110038
03-03-2021,750.1631037,755.8461575,741.1649351,751.5128174,11222410
04-03-2021,733.374486,744.0065101,728.8990461,735.0320435,16291438
05-03-2021,725.0629433,731.9773138,720.3744124,724.5893555,17445822
08-03-2021,730.2724253,736.429067,716.3015844,719.6166992,15117050
09-03-2021,731.6932307,741.4964761,728.4965127,739.9810181,15066696
10-03-2021,744.479981,745.9007443,735.0792753,736.7841797,11055016
12-03-2021,757.7405378,757.7405378,726.981031,734.9846191,15631204
15-03-2021,733.3033714,733.3033714,717.6276266,723.9500122,12230386
16-03-2021,725.0156363,729.5147207,715.1176388,716.1358643,13722366
17-03-2021,721.8661411,728.8515606,705.7404548,708.1794434,21064428
