date,open,high,low,close,volume
11-12-2020,492.5402601,499.9392685,489.4936252,498.5368347,25335765
14-12-2020,501.0998246,510.4815552,501.0998246,508.5471802,26369591
15-12-2020,506.8063224,507.0481194,496.2639536,501.0515442,26969145
16-12-2020,502.9858864,504.5817695,494.3295753,495.6352844,24263586
17-12-2020,497.1344387,499.5524078,492.3952253,493.6525574,23883288
18-12-2020,497.1343964,501.2449435,492.4435309,500.1810608,21735833
21-12-2020,497.7147401,497.8114943,472.1810216,478.274292,29157759
22-12-2020,480.9824092,485.3347537,473.0514881,483.8839722,32328041
23-12-2020,482.6266147,488.9133341,480.2569933,487.0756836,19205951
24-12-2020,490.122264,499.0204008,488.5264106,496.6991272,17576807
28-12-2020,498.9720395,504.0981213,496.7474611,503.0341797,14470472
29-12-2020,505.4039293,513.383228,500.8581352,511.4488525,19092649
30-12-2020,514.2052887,515.5109683,507.3382216,511.4004211,21365141
31-12-2020,512.7060625,520.830461,509.2242111,517.4936523,27817770
01-01-2021,517.9772538,519.3796875,508.8373201,510.1914063,13592625
04-01-2021,514.83389,517.445308,507.09639,514.2536011,16549750
05-01-2021,509.3693564,522.2329392,505.8390981,519.621521,23311516
06-01-2021,521.0723214,532.5334708,518.2674537,528.7614746,28178838
07-01-2021,534.0326233,536.2087953,522.0394742,523.3451538,21138034
08-01-2021,529.0516286,529.1483238,518.7510568,524.2640381,21937965
11-01-2021,527.2623336,528.0844195,517.4453561,526.8270874,19394393
12-01-2021,523.2484857,532.5818696,519.4764305,530.0187988,16388310
13-01-2021,533.4039304,542.5922121,530.2605709,538.2398682,21920297
14-01-2021,535.8702882,540.1259373,532.5334791,535.1448975,13330898
15-01-2021,531.9531745,532.920362,523.7320799,525.1828613,15708956
18-01-2021,526.633622,530.4056771,511.5455198,515.6560669,21580313
19-01-2021,521.3141544,529.7770465,516.3815209,528.5197144,20575358
20-01-2021,528.519597,536.4021393,528.0843508,532.9202881,16097138
21-01-2021,536.7890948,542.5922201,531.6630125,534.5645752,18189277
22-01-2021,534.9514379,535.3383365,513.1897169,516.284729,24515997
25-01-2021,518.9444214,524.5057494,513.7699921,520.3952026,23415249
27-01-2021,520.1534475,521.5075337,502.0670287,505.2103882,28049286
28-01-2021,497.7146758,512.4642855,495.2000118,510.9168091,29836591
29-01-2021,515.849381,527.0687904,512.0773855,519.3796387,33172808
01-02-2021,533.8875487,589.4524875,532.9203611,583.987854,69354326
02-02-2021,592.8859585,603.5250214,579.0551886,597.0932007,42362384
03-02-2021,602.9447323,606.9101776,593.8531459,601.9291382,27155908
04-02-2021,598.4956176,610.9240125,589.0171918,607.6838989,29982222
05-02-2021,607.6839602,614.4542734,590.9516264,593.998291,32015570
08-02-2021,601.9291741,613.1485856,601.9291741,608.9412842,18230551
09-02-2021,610.6338013,622.0950085,607.9740357,612.5681763,27155615
10-02-2021,612.5682317,617.2591269,605.8463252,611.4076538,23967387
11-02-2021,606.1848538,612.8100655,603.6217829,609.9569092,16072702
12-02-2021,609.2314148,628.5751644,608.7478211,626.3505859,19049709
15-02-2021,633.5079031,654.5925818,630.6063401,651.8361206,27155194
16-02-2021,651.3041452,657.1072708,628.2366858,636.7479248,24966739
17-02-2021,633.3143843,643.1313613,628.0432004,635.7807007,21684753
18-02-2021,628.671866,630.9931395,616.6787175,623.4974365,27845347
19-02-2021,614.6477354,614.6477354,598.6891396,603.5734253,24055811
22-02-2021,601.5907088,608.6511668,587.3730388,589.8393555,27092321
