date,open,high,low,close,volume
11-12-2020,2494.879177369092,2508.279538422857,2469.7312537001258,2486.749755859375,1795408
14-12-2020,2503.187672211557,2504.974387181016,2462.3165672851906,2499.346191,2483658
15-12-2020,2488.894307811766,2496.666475417624,2461.200221831089,2467.051758,2365509
16-12-2020,2482.6410112533545,2519.0900484904337,2466.0691825446625,2514.087158203125,2565149
17-12-2020,2511.227578514971,2549.373894766858,2505.8674342705417,2535.526855,2863460
18-12-2020,2562.1492543172185,2588.9499787347627,2542.674017619499,2555.895751953125,6076692
21-12-2020,2555.8958412076045,2578.6764577580398,2488.000670312191,2519.402099609375,2705195
22-12-2020,2531.7758922500543,2576.1310177992696,2518.062763389865,2566.170166015625,2881737
23-12-2020,2569.3409633774995,2607.710625604319,2559.871286,2598.553711,2790988
24-12-2020,2598.777325480599,2609.8103793673413,2575.728655184681,2599.090087890625,1807144
28-12-2020,2599.669930931553,2635.136174684465,2592.523072014903,2617.000977,2108994
29-12-2020,2608.6038771913923,2637.191316941435,2608.6038771913923,2617.984130859375,1994151
30-12-2020,2621.4688021703814,2633.350503448529,2592.524099330231,2599.045654296875,2637968
31-12-2020,2590.736795981246,2595.203583560524,2541.602132609188,2557.459228515625,4040956
01-01-2021,2572.869381243064,2626.470826685628,2571.9760238190206,2615.973876953125,2681440
04-01-2021,2635.405118,2725.4109032291594,2627.320187748944,2715.315918,5113293
05-01-2021,2715.4498211736627,2782.1388781079186,2715.4498211736627,2763.155029296875,5801309
06-01-2021,2769.4086556432285,2781.4689836597395,2713.305752804704,2726.080810546875,3726716
07-01-2021,2747.0741524006453,2752.300380713004,2680.295683167491,2709.374512,3717827
08-01-2021,2760.4754112544224,2794.423005308684,2733.674679106321,2788.080078,5879039
11-01-2021,2885.544907172452,2885.544907172452,2810.994262711835,2837.705566,9508039
12-01-2021,2837.7058526996366,2867.678045361701,2814.0765865698936,2836.276611328125,3611458
13-01-2021,2836.410454964306,2838.1971702115275,2792.859270813279,2822.072021484375,3572801
14-01-2021,2823.907225284338,2923.706165258729,2792.938139462776,2909.564208984375,6931542
15-01-2021,2895.511425646502,2930.4186731272484,2873.1349849537164,2894.034668,4131692
18-01-2021,2908.937479236585,2914.979118616538,2852.9067806900816,2883.652099609375,4160906
19-01-2021,2893.721109295591,2934.893757309076,2892.826052,2918.51416,2975735
20-01-2021,2926.838130296628,2978.7066705836837,2924.242550861208,2961.566406,3453446
21-01-2021,2958.165627244179,2961.880029201729,2919.76774,2930.284668,2778546
22-01-2021,2901.6869042379963,2976.066272008023,2901.6869042379963,2956.464599609375,3052459
25-01-2021,2961.701000604869,2989.313616826192,2934.5807098005757,2945.90332,2272887
27-01-2021,2953.690333669455,2959.4634119812754,2888.3511232579795,2918.827880859375,2786662
28-01-2021,2891.036315473477,2931.313911199888,2849.684694231684,2861.09668,3083938
29-01-2021,2873.1805465802327,2879.266984,2774.6793847187205,2784.838379,5445659
01-02-2021,2774.6785658792774,2832.8573100025524,2724.6449333412297,2809.899169921875,3985846
02-02-2021,2840.9130561526117,2885.6659398349148,2819.431671985106,2867.272461,2881837
03-02-2021,2875.820200794894,2896.406526539769,2830.753961158467,2864.229248046875,2505866
04-02-2021,2878.5501133600037,2898.062413253569,2842.7030118398384,2853.846435546875,2057261
05-02-2021,2863.244728244721,2869.420757362734,2800.635487090299,2826.547363,2366135
08-02-2021,2854.786425649493,2887.456030457836,2824.041107415037,2876.804931640625,2526592
09-02-2021,2859.708930172352,2905.177898337291,2831.962145560351,2843.508301,2658751
10-02-2021,2850.757965341347,2881.5478540739714,2825.9649177925903,2876.088134765625,2127983
11-02-2021,2877.610205961478,2881.458997374836,2850.803274340876,2869.554688,1165882
12-02-2021,2850.0427269967176,2904.9098085262062,2848.073644,2855.950195,2777404
