date,open,high,low,close,volume
11-12-2020,1020.907586908936,1031.6915124639877,1016.9902038753758,1023.9887084960938,10574009
14-12-2020,1029.4469014587928,1032.263884,1010.784040800136,1025.1773681640625,6728187
15-12-2020,1017.650316652258,1024.4287403099272,1014.1290352797588,1016.4178466796876,6905926
16-12-2020,1021.1714268540456,1029.006298086756,1015.5373561102448,1026.189208984375,7788404
17-12-2020,1026.3654958531113,1029.0064568472642,1017.8263241620972,1020.467285,6658153
18-12-2020,1041.2869820726494,1051.9828966141033,1034.9046590597186,1047.405273,15995676
21-12-2020,1045.820384009775,1064.967348110964,1014.172916215412,1036.4010009765625,10858352
22-12-2020,1040.5388136585927,1077.380204477402,1035.3449013029538,1074.431152,10901851
23-12-2020,1089.8364644627864,1108.1911200982577,1083.2781216149865,1103.0853271484375,15878346
24-12-2020,1100.3124102877798,1100.3124102877798,1079.272732749329,1088.1199951171875,7313885
28-12-2020,1090.2325276875613,1098.6396287283212,1088.0757861443951,1091.8612060546875,4607051
29-12-2020,1087.1954861811491,1104.317671703826,1087.1954861811491,1100.6644287109375,6878105
30-12-2020,1103.0414394818924,1103.3055785810864,1089.9687032914826,1097.583496,5194690
31-12-2020,1094.2382040986772,1107.7951590929808,1090.7169226695585,1105.506348,7430470
01-01-2021,1107.354979051103,1114.0453921542232,1105.5063278261723,1109.5997314453125,4253550
04-01-2021,1117.1265862270766,1135.613314604357,1110.2160925877663,1134.072754,7208454
05-01-2021,1128.5704312087869,1143.5358737443166,1122.452249156585,1138.958251953125,8145280
06-01-2021,1144.4163232794403,1146.1769637767932,1116.2901343186134,1128.6585693359375,7161715
07-01-2021,1140.8950094747993,1142.3475593355363,1105.2420404287118,1111.096191,10954918
08-01-2021,1125.2695357392688,1159.2059296743755,1125.2695357392688,1155.068359,13186251
11-01-2021,1181.4778045970766,1217.791015480157,1179.6291535352227,1211.4967041015625,20528626
12-01-2021,1213.0813474604747,1213.0813474604747,1197.2355823993075,1207.579345703125,8309868
13-01-2021,1209.427928406839,1226.1100612683126,1197.2355146942416,1221.13623,14442997
14-01-2021,1197.2357616403683,1218.3634515516692,1160.6584054970342,1206.4791259765625,27521697
15-01-2021,1197.2355572739823,1201.152939458616,1179.6291520199532,1183.9866943359375,15018441
18-01-2021,1177.8685607807886,1179.629201379863,1149.698311195598,1155.0242919921875,8861765
19-01-2021,1162.0227819458878,1171.706305,1154.980219631064,1159.07373,5585744
20-01-2021,1162.5071716603345,1187.0240738239052,1162.5071716603345,1179.1451416015625,8225838
21-01-2021,1188.4320857322332,1198.1596654183456,1175.2272847796528,1179.364746,6142421
22-01-2021,1168.185268479585,1193.7145622142557,1167.7891672508588,1180.377685546875,9646591
25-01-2021,1184.0308472818467,1186.5837977384415,1155.8605966401967,1166.512451171875,6542611
27-01-2021,1161.670565811443,1168.6691761875868,1131.2995175680549,1145.296630859375,8133665
28-01-2021,1137.197927864108,1141.2913317270973,1120.2517602809414,1123.464844,4660690
29-01-2021,1132.311937664293,1136.625528442827,1083.6742431601515,1090.7608642578125,12183519
01-02-2021,1100.8846773780538,1125.0053694528378,1092.4775748930736,1109.9959716796875,8880279
02-02-2021,1126.8101032448378,1139.4867383985393,1112.3728273048162,1119.1072998046875,6892490
03-02-2021,1124.7410791637496,1147.9374939957827,1120.6475689084598,1130.90332,8182968
04-02-2021,1131.211624326662,1138.606336592666,1119.811519034765,1126.237793,5032240
05-02-2021,1132.444092435958,1134.5128237163976,1110.9642549215084,1119.855469,5477481
08-02-2021,1131.6518008027583,1153.219649,1122.8485973737208,1147.5416259765625,6921922
09-02-2021,1150.4907792397423,1172.5868003058606,1142.523836448464,1149.3023681640625,7965949
10-02-2021,1140.7189018825882,1148.2455747447857,1129.9789314957209,1141.3350830078125,5951207
11-02-2021,1134.7328543695958,1140.8950964026346,1129.494991625902,1137.946044921875,4673317
12-02-2021,1148.8179986508703,1165.324004378613,1145.780936581356,1153.0435791015625,5797875
15-02-2021,1162.0230386796927,1169.4177522362172,1150.6668829458508,1152.9117431640625,4363513
16-02-2021,1156.740869535275,1161.8027112398622,1132.091901234675,1135.965332,6896421
17-02-2021,1135.9653611845283,1139.574653000407,1122.4084067790798,1127.9544677734375,4575741
18-02-2021,1123.2886719085736,1149.6982801822862,1122.4083516327833,1137.7698974609375,6437551
19-02-2021,1140.983163556862,1143.9762741850557,1123.9930455849908,1136.7576904296875,5389696
22-02-2021,1140.0149640340246,1151.9433489200894,1109.2037487898615,1113.7813720703125,7371303
23-02-2021,1119.0189144170472,1136.4932468756565,1107.0465825726692,1114.7933349609375,6612942
24-02-2021,1109.2476716611327,1123.8169086048074,1102.1610500403006,1121.792236328125,4537258
25-02-2021,1134.2485724219769,1144.1962341374683,1119.7673474305518,1122.012207,8788221
26-02-2021,1117.1264049578488,1121.792145299428,1095.7786387480553,1103.305419921875,15132388
01-03-2021,1112.1085808151993,1130.7713265603418,1108.3231608715223,1115.365723,5756286
02-03-2021,1128.790801335222,1153.2196917521082,1126.1057812059096,1148.37793,10461434
03-03-2021,1161.3185090312531,1185.7914566139111,1151.458964551593,1182.754395,9056399
04-03-2021,1175.227543893149,1200.6247618326536,1167.216651041202,1171.134033203125,12041941
05-03-2021,1169.5053749599265,1179.6290571669565,1148.861909443889,1159.1175537109375,6486176
08-03-2021,1166.2483532735523,1184.9991108147522,1159.5578331575844,1175.8878173828125,5119392
09-03-2021,1170.3859515587133,1188.8286206353612,1160.922507422379,1184.515137,6518173
10-03-2021,1194.5064324965867,1209.5598855627088,1192.8338027201385,1204.4100341796875,7925984
12-03-2021,1208.679778537626,1225.1417252536396,1206.0828766227546,1210.308349609375,9462061
15-03-2021,1206.038876053752,1214.7540689860443,1195.9151920576803,1209.208008,6658635
16-03-2021,1220.1682253309843,1237.7305756497244,1215.2824037584955,1218.363525390625,9352771
17-03-2021,1225.625954097866,1232.4484365142844,1216.602670901958,1221.0042724609375,7626744
18-03-2021,1226.9464622249843,1226.9464622249843,1156.3007556107748,1177.0762939453125,10961755
19-03-2021,1170.826165767214,1193.010197502618,1160.2623206625474,1183.5467529296875,12767112
22-03-2021,1188.5202281089962,1211.3205417755976,1176.1957458525585,1206.742919921875,4862758
23-03-2021,1208.195766894758,1217.7032708042857,1196.883670526964,1207.403564453125,7165335
24-03-2021,1195.3429344263322,1206.4349490534237,1185.131240126169,1191.733642578125,6134303
25-03-2021,1185.5713696026812,1190.6332113514952,1168.713214286175,1174.1712646484375,8749994
26-03-2021,1183.7667809034572,1194.3306255428963,1172.5867549777777,1176.2840576171875,4922071
30-03-2021,1185.703371195561,1232.4483551746337,1176.2399284683272,1219.5076904296875,10546381
31-03-2021,1216.6024445648843,1221.884365,1200.1405007812757,1204.322021484375,8220987
01-04-2021,1214.8420550042574,1225.053749336735,1206.9191720368383,1219.419677734375,5675155
05-04-2021,1224.5253791352843,1254.4562654692884,1221.0040983901074,1241.1634521484375,9479572
06-04-2021,1252.6959332908973,1255.3368944995218,1238.126587638924,1242.1761474609375,5793571
07-04-2021,1241.4715901438333,1263.2154565915005,1238.258399848928,1259.033935546875,5879234
08-04-2021,1258.857920022219,1277.9608258941146,1250.9350380080934,1267.529052734375,5654434
09-04-2021,1280.8659961023566,1280.8659961023566,1258.9020482944743,1268.5855712890625,6052712
12-04-2021,1297.5921547595565,1300.717334887364,1245.6532557562905,1255.116699,20384532
13-04-2021,1261.4991628553278,1263.4798838018903,1210.4405784550424,1229.939697265625,14855206
15-04-2021,1172.850684415324,1202.8695827405857,1162.022702611152,1197.895751953125,25342491
16-04-2021,1201.6372462560596,1206.787099,1185.439330748398,1191.733642578125,10879878
19-04-2021,1179.6292029840504,1214.577875938815,1172.8947311912375,1199.480469,12508028
20-04-2021,1213.9618526540346,1213.9618526540346,1181.7421469474375,1189.6209716796875,8560766
22-04-2021,1193.3182467166828,1201.4612096354415,1184.1628939428558,1189.4007568359375,6622446
23-04-2021,1182.2701684621502,1187.0239195967097,1171.7063248124512,1174.1712646484375,7316262
26-04-2021,1172.8067320518803,1189.576876928249,1162.9031285723656,1182.754395,7088606
27-04-2021,1184.9112595447489,1191.0735023507025,1179.7614066919707,1187.112060546875,3636115
28-04-2021,1195.4751183613914,1196.7955989781383,1183.6788033595897,1193.7144775390625,4879234
29-04-2021,1204.278214298539,1205.1585346306288,1189.6649182780477,1194.022461,5412357
30-04-2021,1185.175326501452,1209.472146593651,1184.8231768703515,1192.2618408203125,8354677
03-05-2021,1180.3333364838204,1198.115761077516,1177.8683970034654,1190.2369384765625,4560337
04-05-2021,1191.9538342097132,1192.7900956141657,1165.632232479059,1170.2979736328125,4887060
05-05-2021,1180.5975574117251,1183.0624972874225,1168.889361654606,1180.949707,3939788
06-05-2021,1184.0307481639024,1201.3730142790157,1177.340335688776,1198.644043,4810090
07-05-2021,1201.90133,1208.723811960995,1187.1119059502223,1190.677246,4991435
10-05-2021,1188.3003893212533,1190.9854093423387,1175.271712767327,1179.233154296875,7195348
11-05-2021,1176.9003177121128,1180.5096097171877,1166.5124944185009,1171.3983154296875,6420988
12-05-2021,1170.826019540081,1170.826019540081,1157.1810546507045,1168.185059,5241898
14-05-2021,1168.0531877125184,1168.0531877125184,1154.3642689557928,1158.8538818359375,4824609
17-05-2021,1162.2870794002622,1175.1836874279068,1162.2870794002622,1170.2979736328125,5017129
18-05-2021,1177.868631755772,1183.6787245906223,1170.3859087588182,1179.6292724609375,5620150
