Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-02-02,2867.2724609375,2885.6659398349148,2819.431671985106,2840.9130561526113,2881837
2021-02-03,2864.229248046875,2896.406526539769,2830.753961158467,2875.820200794894,2505866
2021-02-04,2853.846435546875,2898.0624132535695,2842.7030118398384,2878.5501133600033,2057261
2021-02-05,2826.54736328125,2869.420757362734,2800.635487090299,2863.2447282447215,2366135
2021-02-08,2876.804931640625,2887.4560304578354,2824.0411074150375,2854.786425649493,2526592
2021-02-09,2843.50830078125,2905.177898337291,2831.962145560351,2859.7089301723518,2658751
2021-02-10,2876.088134765625,2881.5478540739714,2825.9649177925903,2850.757965341347,2127983
2021-02-11,2869.5546875,2881.458997374836,2850.803274340876,2877.610205961478,1165882
2021-02-12,2855.9501953125,2904.9098085262062,2848.07364373144,2850.0427269967176,2777404
2021-02-15,2810.34619140625,2872.239325996635,2802.9171709475922,2872.239325996635,2630853
2021-02-16,2782.555419921875,2835.229434425715,2774.678868462251,2819.4317534374486,3435770
2021-02-17,2750.60205078125,2804.0817511852565,2725.9431661378376,2779.2438986963666,3678426
2021-02-18,2736.50439453125,2772.7988047820722,2712.9195397617773,2743.351497647591,4189909
2021-02-19,2749.482666015625,2763.1768719320535,2699.627784873394,2737.0860313434,3725028
2021-02-22,2647.983154296875,2771.0983728001697,2634.288729099401,2771.0983728001697,5366696
2021-02-23,2667.45068359375,2710.2344816648356,2656.531024300275,2658.32113954576,3832829
2021-02-24,2638.719482421875,2688.1714164046157,2614.5975045138985,2660.1112723385645,3774549
2021-02-25,2680.96630859375,2711.935173163415,2656.9339225137574,2661.901536334308,4224073
2021-02-26,2590.5654296875,2660.4247237718946,2577.7660614423235,2649.3706742601657,5553153
2021-03-01,2617.32763671875,2653.8460339420762,2597.278431998463,2618.938784254474,3265871
2021-03-02,2690.8564453125,2707.5491817856246,2638.6297480674452,2649.370439036512,3306469
2021-03-03,2738.070556640625,2742.4562510963624,2682.397803881428,2716.499582923453,3509857
2021-03-04,2729.657470703125,2758.0755531644904,2699.5388659906343,2705.7594734081085,3916760
2021-03-05,2692.3779296875,2741.7402665783306,2682.129564357553,2699.583186729747,3203686
2021-03-08,2691.39306640625,2714.709357642902,2681.592230629124,2699.493380366301,2003125
2021-03-09,2730.77587890625,2745.052003597564,2678.10187145624,2691.3933454019807,1942397
2021-03-10,2748.67724609375,2768.592278802846,2738.8764085319117,2752.302273279617,3053778
2021-03-12,2737.041748046875,2789.89495082897,2722.1839208066626,2752.302526082478,2938317
2021-03-15,2744.381103515625,2773.7838366264696,2721.870489571182,2721.870489571182,3097083
2021-03-16,2783.673583984375,2811.3755695312693,2738.875913010406,2738.875913010406,4894756
2021-03-17,2786.269775390625,2823.906994729599,2761.521517821019,2779.1541105025053,3838390
2021-03-18,2717.84228515625,2816.2538203269355,2673.58173244957,2797.905140318471,3656306
2021-03-19,2730.104736328125,2773.7835923282114,2689.648175200476,2712.0246159259377,5776626
2021-03-22,2801.21728515625,2809.988894451002,2701.865878975166,2728.762406965116,2821646
2021-03-23,2812.80859375,2836.4380311200434,2795.1312030543163,2810.4813561744827,3305973
2021-03-24,2793.564697265625,2821.490454025433,2784.6586982632953,2784.7034948526434,2207104
2021-03-25,2743.217529296875,2802.291334267646,2729.925835770478,2785.5983779631874,3179786
2021-03-26,2744.962646484375,2790.7895511507954,2723.705028832088,2766.309638783247,3697370
2021-03-30,2827.0849609375,2853.847102724956,2739.682432469811,2759.4632979787857,4694008
2021-03-31,2844.359130859375,2868.659859421223,2803.320648894624,2823.906975498895,3530069
2021-04-01,2832.857421875,2877.610303737164,2814.9562691301344,2856.218513615022,4285076
2021-04-05,2899.001953125,2920.572928543356,2820.32647803865,2838.22762991449,5317862
2021-04-06,2922.0947265625,2931.313864251768,2891.036269170446,2931.313864251768,2291562
2021-04-07,2928.09130859375,2933.596043876824,2895.3323319556057,2916.9926819005923,2491268
2021-04-08,2969.218994140625,2985.016671124075,2923.3025020922196,2926.8379354050153,2578118
2021-04-09,2973.605712890625,3002.3371550683573,2960.851139511532,3002.0237974370248,2911129
2021-04-12,2905.8486328125,2987.7911811237914,2875.99838124667,2973.6044339886334,3791828
2021-04-13,2778.3037109375,2876.7152547441287,2750.556924099582,2876.7152547441287,8654596
2021-04-15,2881.1455078125,2897.5251049711037,2763.445437906345,2828.6504689847543,6062760
2021-04-16,2859.843017578125,2906.2518385333483,2848.6102202432676,2890.1408027792368,3224657
2021-04-19,2829.9931640625,2854.338687084353,2806.095169840755,2836.4375350800606,2679106
2021-04-20,2814.553466796875,2886.874165788868,2798.2634619087594,2886.5608082156655,3141893
