Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2020-12-11,654.8772583007812,660.6550065599108,650.2360745568154,658.3107699836195,21356384
2020-12-14,649.8335571289062,657.3399127257109,647.8681560581934,654.9719735588316,17222050
2020-12-15,658.9027099609375,660.6312591314887,646.9209158475564,653.9300382066189,21561436
2020-12-16,668.09033203125,670.9792640576541,660.4182322709024,664.9173166786283,16832092
2020-12-17,682.8189697265625,684.334427687693,665.1541201988684,671.8316971698117,21924478
2020-12-18,668.3981323242188,681.8243349393504,666.0065486123938,679.5984953959074,22995918
2020-12-21,650.0703735351562,674.3180483184574,647.2524911424747,671.3107770346853,23761824
2020-12-22,650.283447265625,655.8244596437975,636.9756406113383,655.8244596437975,22851558
2020-12-23,651.4910888671875,654.0010695985399,644.5767183346328,647.6313366151035,15467394
2020-12-24,661.6495361328125,664.9173036746126,652.1304324501009,658.0029330191164,14952188
2020-12-28,669.1085205078125,672.9682726910083,664.9172799846416,665.3908677908984,11699194
2020-12-29,675.9044799804688,679.4800909681309,672.4946709703752,672.9919612810602,14495346
2020-12-30,678.41455078125,681.9191122043819,669.1795883098822,681.9191122043819,16216726
2020-12-31,680.2142333984375,683.8608366188828,674.8863702322585,679.5985460859396,22145750
2021-01-01,674.8863525390625,683.3872308658292,672.7788520330828,681.9664673920958,8810938
2021-01-04,670.6004028320312,681.0193356443933,662.549409295206,681.0193356443933,15740192
2021-01-05,675.6676635742188,677.5857172103831,667.2851829805555,672.1157552191057,14386824
2021-01-06,672.7551879882812,681.9664477871121,669.2269241099976,679.5985087322957,22134050
2021-01-07,670.7186889648438,678.4618375541515,668.9664373148993,678.4144903386681,19894842
2021-01-08,678.0120239257812,682.9136463718647,673.962824881487,678.1777681029891,13768764
2021-01-11,687.3890380859375,693.758829135686,680.2142286543354,686.7023588514919,17331392
2021-01-12,701.3834838867188,704.5564988055578,686.2760225365455,687.862529995965,20388156
2021-01-13,696.48193359375,708.9136137714456,692.4327346400382,707.019262506273,16934650
2021-01-14,695.5821533203125,704.6987194148936,689.5439082446808,696.7187757202818,12297166
2021-01-15,694.5875854492188,696.9555245413233,684.3343976182036,695.7478524799448,14165236
2021-01-18,702.3781127929688,711.7314726176702,694.7533601436431,696.1267764395999,42825632
2021-01-19,712.2050170898438,715.8990251352752,694.7533178392471,706.4983186612751,17360254
2021-01-20,706.593017578125,710.8553078986365,703.751490697784,710.8553078986365,13346052
2021-01-21,698.4473876953125,707.7059955211522,695.2980169153192,706.5930756304524,26333054
2021-01-22,683.6477661132812,695.1796187343615,682.0375558560813,695.1796187343615,15392364
2021-01-25,692.7879028320312,701.3835329786784,689.1412998903074,693.853475383822,20344718
2021-01-27,667.5693359375,697.0738783221417,665.9354811895471,695.2268743824932,23556276
2021-01-28,649.5020751953125,663.6387196685218,635.5549352474135,658.2398062718762,42704446
2021-01-29,658.5238037109375,667.1667806384634,646.2105215128186,658.926341759059,28704502
2021-02-01,699.370849609375,702.0939797162,663.496570375984,667.8772579391374,26370544
2021-02-02,739.0574951171875,747.5583733559366,709.1504127425507,710.8553173311757,42420206
2021-02-03,745.8060913085938,749.0738008830458,730.2723883286894,747.7951369461741,20237254
2021-02-04,747.8424682617188,752.0574111584991,730.9590519716828,741.6384797696535,24484684
2021-02-05,756.6038818359375,766.3834817798823,733.1139377693545,733.1139377693545,27054716
2021-02-08,760.2268676757812,772.7295980086683,755.7040807536468,767.2122882010688,17447580
2021-02-09,763.3525390625,771.0009941477288,751.4417934690837,762.4764131313533,18421366
2021-02-10,749.0975341796875,764.7732794572811,742.1121138356696,761.6949586277138,19788006
2021-02-11,744.6458129882812,756.698657949199,740.7860606113193,749.2159471102909,13648618
2021-02-12,749.1922607421875,754.1886355811185,744.9536726964518,745.3799133148704,9910106
2021-02-15,765.6019897460938,769.5801386403439,756.177581409158,757.7877914152841,10355244
2021-02-16,770.3616333007812,777.1576069056083,761.7423003535508,767.7805450141519,13897358
2021-02-17,751.3471069335938,768.0647807827121,749.6895494962994,767.2122995476974,12794426
2021-02-18,736.0975952148438,760.5583606487642,733.1139687293299,760.5583606487642,14720560
2021-02-19,728.8989868164062,740.7860292853279,726.0101127375784,731.6931664576377,17139508
2021-02-22,733.1139526367188,745.3798888586701,729.064753611122,731.7168916782571,29451838
2021-02-23,724.1868286132812,737.7077262268455,721.1085077743629,735.8370774568311,18239906
2021-02-24,760.795166015625,764.3470748323017,718.0775657714667,722.931841154258,14314332
2021-02-25,760.7714233398438,774.9080070475392,758.6876255402033,762.3579308447829,20109570
2021-02-26,726.6731567382812,752.4836927211386,720.3270684390092,751.6075668233725,27912846
2021-03-01,738.2760620117188,744.7405472981088,729.6567290261943,740.6913483244873,13536018
2021-03-02,742.6803588867188,751.8206264779094,734.53467191637,746.2322673582679,16110038
2021-03-03,751.5128173828125,755.8461574794367,741.1649351223799,750.1631036638017,11222410
2021-03-04,735.0320434570312,744.0065100625322,728.8990461317771,733.3744859871274,16291438
2021-03-05,724.58935546875,731.9773138054445,720.3744123616639,725.0629432827818,17445822
2021-03-08,719.61669921875,736.4290669859535,716.3015844477521,730.272425268386,15117050
2021-03-09,739.9810180664062,741.4964760669994,728.4965126660156,731.6932306640625,15066696
2021-03-10,736.7841796875,745.9007443405512,735.0792752626375,744.4799810179977,11055016
2021-03-12,734.984619140625,757.7405377905536,726.9810309590243,757.7405377905536,15631204
2021-03-15,723.9500122070312,733.303371388489,717.6276265503748,733.303371388489,12230386
2021-03-16,716.1358642578125,729.5147207460253,715.1176388389844,725.0156362632634,13722366
2021-03-17,708.179443359375,728.8515605873579,705.7404548400427,721.8661411470307,21064428
2021-03-18,706.119384765625,720.8243085586888,701.4545566632114,715.9463312672258,18065540
